Battery,cycle,capacity_Ah,soh_pct,capacity_fade_pct,charge_duration_min,discharge_dur_min,energy_Wh,max_temp_C
B0005,1,1.8564874208181568,92.82,0.0,92.82,55.19,6.5975,38.90411223853604
B0005,2,1.8463272497199268,92.32,0.55,92.32,54.88,6.5748,38.9345898962704
B0005,3,1.835349194223408,91.77,1.14,91.77,54.56,6.5439,38.74364933715347
B0005,4,1.8352625275821128,91.76,1.14,91.76,54.57,6.5434,38.67251117886956
B0005,5,1.8346455082120416,91.73,1.18,91.73,54.53,6.5405,38.5588283762414
B0005,6,1.8356616600675493,91.78,1.12,91.78,54.56,6.5463,38.64849426602047
B0005,7,1.8351461429226603,91.76,1.15,91.76,54.55,6.5458,38.707161399468006
B0005,8,1.8257567905665533,91.29,1.66,91.29,54.26,6.5232,38.48247850754903
B0005,9,1.8247738529891333,91.24,1.71,91.24,54.24,6.5173,38.46047117066617
B0005,10,1.824613268496936,91.23,1.72,91.23,54.24,6.5151,38.440002263808495
B0005,11,1.8246195526864504,91.23,1.72,91.23,54.24,6.5111,38.42303985411221
B0005,12,1.814201935767392,90.71,2.28,90.71,53.92,6.4857,38.4674347458956
B0005,13,1.8137521577549047,90.69,2.3,90.69,53.92,6.4803,38.50748485560728
B0005,14,1.8134404914735824,90.67,2.32,90.67,53.91,6.4757,38.43649902755072
B0005,15,1.8025980036306504,90.13,2.9,90.13,53.59,6.4448,38.16868880096885
B0005,16,1.8021069002461496,90.11,2.93,90.1,53.57,6.4393,38.1359924800777
B0005,17,1.8025795008262089,90.13,2.9,90.13,53.58,6.4377,38.235046911721184
B0005,18,1.8030683142834096,90.15,2.88,90.15,53.59,6.4356,38.37206827600844
B0005,19,1.802777624719604,90.14,2.89,90.14,53.58,6.4328,38.41874277055602
B0005,20,1.8470259949329195,92.35,0.51,92.35,54.91,6.5997,38.40348293513608
B0005,21,1.847417311283644,92.37,0.49,92.37,54.92,6.6002,38.90427046351709
B0005,22,1.8361774213478947,91.81,1.09,91.81,54.6,6.5631,38.45267402611068
B0005,23,1.825780747577624,91.29,1.65,91.29,54.28,6.5278,38.14255653759616
B0005,24,1.8251136435078368,91.26,1.69,91.26,54.26,6.521,38.1130812025911
B0005,25,1.825581504220376,91.28,1.66,91.28,54.28,6.5167,38.184591581774185
B0005,26,1.814031127508391,90.7,2.29,90.7,53.93,6.4838,37.949467459972894
B0005,27,1.8147691941158937,90.74,2.25,90.74,53.95,6.478,38.01919311449829
B0005,28,1.813969388710352,90.7,2.29,90.7,53.92,6.471,38.07657425769093
B0005,29,1.8027656651678232,90.14,2.89,90.14,53.59,6.4398,37.93152652621658
B0005,30,1.804077040117352,90.2,2.82,90.2,53.63,6.4379,38.09349795180285
B0005,31,1.8518025516704488,92.59,0.25,92.59,55.12,6.6117,38.431475133067295
B0005,32,1.8307038456739428,91.54,1.39,91.54,54.49,6.5411,38.41151361110139
B0005,33,1.8199041089501269,91.0,1.97,90.99,54.18,6.5011,38.23656074919321
B0005,34,1.809307963702852,90.47,2.54,90.46,53.86,6.4596,37.86193464017681
B0005,35,1.80460990458052,90.23,2.79,90.23,53.72,6.4385,37.85234522947546
B0005,36,1.7993770651972192,89.97,3.08,89.97,53.56,6.4242,38.2195280246262
B0005,37,1.7884432335370462,89.42,3.67,89.42,53.24,6.3834,37.97707473630467
B0005,38,1.7829230484252725,89.15,3.96,89.15,53.08,6.3593,38.01040809761953
B0005,39,1.7730337158018288,88.65,4.5,88.65,52.78,6.3223,37.78153326259964
B0005,40,1.773037755078937,88.65,4.5,88.65,52.77,6.3179,38.14716767155235
B0005,41,1.7678721106662054,88.39,4.77,88.39,52.62,6.3051,38.66523767048857
B0005,42,1.762315070409309,88.12,5.07,88.12,52.46,6.285,38.73374102208452
B0005,43,1.7676172924938447,88.38,4.79,88.38,52.54,6.3006,38.46446447427885
B0005,44,1.762668359743147,88.13,5.05,88.13,52.47,6.2806,38.20618881420677
B0005,45,1.7517304870664143,87.59,5.64,87.59,52.15,6.2365,37.871573694580434
B0005,46,1.7418496047960008,87.09,6.17,87.09,51.84,6.2008,37.82004945543392
B0005,47,1.7360913511847138,86.8,6.49,86.8,51.68,6.1766,38.042380967873534
B0005,48,1.7936240148573608,89.68,3.39,89.68,53.4,6.4026,40.61676409324107
B0005,49,1.7831890223273277,89.16,3.95,89.16,53.08,6.37,39.75352205267765
B0005,50,1.7673642076278957,88.37,4.8,88.37,52.62,6.305,39.07955502788136
B0005,51,1.7570177850353066,87.85,5.36,87.85,52.31,6.2606,38.7514197535489
B0005,52,1.7468706179837907,87.34,5.9,87.34,52.0,6.2213,38.5521344719629
B0005,53,1.7417172507457144,87.09,6.18,87.09,51.85,6.1991,38.74877822268547
B0005,54,1.7364225056478186,86.82,6.47,86.82,51.69,6.1807,39.086996056790376
B0005,55,1.7263217239235826,86.32,7.01,86.32,51.38,6.1409,38.78645819231579
B0005,56,1.7158065389330133,85.79,7.58,85.79,51.08,6.102,38.81108844804652
B0005,57,1.710533351135192,85.53,7.86,85.53,50.91,6.0797,38.66347864926757
B0005,58,1.706014499648521,85.3,8.11,85.3,50.77,6.0627,38.95945000158567
B0005,59,1.7003110272642588,85.02,8.41,85.02,50.61,6.0436,39.13447565585548
B0005,60,1.6945798601797897,84.73,8.72,84.73,50.44,6.0181,39.05947645454438
B0005,61,1.6849029086609286,84.25,9.24,84.24,50.15,5.9829,38.988659823386286
B0005,62,1.6744741591159715,83.72,9.8,83.72,49.84,5.9441,38.82686153852645
B0005,63,1.6745692479879102,83.73,9.8,83.73,49.84,5.9408,39.275975313518494
B0005,64,1.663716375981405,83.19,10.38,83.18,49.53,5.902,38.97342335718236
B0005,65,1.659013868748246,82.95,10.64,82.95,49.38,5.8875,39.331053622444905
B0005,66,1.6538540573335014,82.69,10.91,82.69,49.22,5.8607,39.37256927347493
B0005,67,1.6426537821301308,82.13,11.52,82.13,48.89,5.8204,39.20264067251961
B0005,68,1.6378578430223698,81.89,11.78,81.89,48.75,5.7991,39.29223196862651
B0005,69,1.6327350407099108,81.64,12.05,81.64,48.59,5.7803,39.39359788488456
B0005,70,1.6277528915533617,81.39,12.32,81.39,48.45,5.7596,39.4709181709351
B0005,71,1.622125485521159,81.11,12.62,81.11,48.28,5.7357,39.54921072457339
B0005,72,1.6113256603765849,80.57,13.21,80.57,47.96,5.6994,39.39370035955599
B0005,73,1.6065631397488385,80.33,13.46,80.33,47.81,5.6782,39.522122794825336
B0005,74,1.6015142233917594,80.08,13.73,80.08,47.66,5.6563,39.583822021338776
B0005,75,1.590369231400328,79.52,14.33,79.52,47.34,5.6179,39.42692706970709
B0005,76,1.5857889968242211,79.29,14.58,79.29,47.19,5.5973,39.484665188466174
B0005,77,1.5849430707374117,79.25,14.63,79.25,47.17,5.589,39.32662729388425
B0005,78,1.5955263892495937,79.78,14.06,79.78,47.49,5.6368,39.7034941383589
B0005,79,1.5747301747801037,78.74,15.18,78.74,46.88,5.5538,39.265407543316286
B0005,80,1.5649019950937946,78.25,15.71,78.24,46.57,5.5135,39.11440680157244
B0005,81,1.5597659473370362,77.99,15.98,77.99,46.41,5.4936,39.32476838126078
B0005,82,1.5594815668184234,77.97,16.0,77.97,46.4,5.4921,39.87862011320845
B0005,83,1.55468935359061,77.73,16.26,77.74,46.26,5.4768,40.00950856663861
B0005,84,1.5488741079890418,77.44,16.57,77.44,46.09,5.4511,39.98828499189766
B0005,85,1.5382365989425582,76.91,17.14,76.91,45.78,5.4116,39.700095117043546
B0005,86,1.527914258251028,76.4,17.7,76.4,45.47,5.3711,39.50409706767029
B0005,87,1.5285252629756445,76.43,17.67,76.43,45.48,5.3711,39.91920745058851
B0005,88,1.5226473252843782,76.13,17.98,76.13,45.31,5.3555,40.11005609160343
B0005,89,1.5174859938489869,75.87,18.26,75.88,45.16,5.336,40.17586235700117
B0005,90,1.605818899130659,80.29,13.5,80.29,47.78,5.6696,39.98142091532012
B0005,91,1.5638491446744425,78.19,15.76,78.19,46.53,5.5159,40.37752962876011
B0005,92,1.5480915247767786,77.4,16.61,77.4,46.07,5.4547,40.42741464560447
B0005,93,1.5323755631868592,76.62,17.46,76.62,45.6,5.3982,40.14829951065202
B0005,94,1.5269528268489705,76.35,17.75,76.35,45.44,5.3699,40.1449227052691
B0005,95,1.5169573017136326,75.85,18.29,75.85,45.14,5.334,40.0408316084248
B0005,96,1.511897596014269,75.59,18.56,75.6,44.99,5.3129,40.178578362590216
B0005,97,1.5065638960681105,75.33,18.85,75.33,44.82,5.2925,40.220286761756896
B0005,98,1.5015453526671363,75.08,19.12,75.08,44.68,5.2717,40.27625422581843
B0005,99,1.4908444050400238,74.54,19.7,74.54,44.36,5.2357,40.18817948927436
B0005,100,1.485868384561201,74.29,19.96,74.29,44.21,5.2166,40.25484092928591
B0005,101,1.480413677976106,74.02,20.26,74.02,44.06,5.1947,40.30569908206496
B0005,102,1.4752095869031632,73.76,20.54,73.76,43.89,5.1745,40.317307847716044
B0005,103,1.4859035988304024,74.3,19.96,74.3,44.21,5.2081,40.436704898222594
B0005,104,1.4960918298136696,74.8,19.41,74.81,44.51,5.2582,40.86152995099408
B0005,105,1.4808005946928984,74.04,20.24,74.04,44.06,5.1955,40.85667657115688
B0005,106,1.4697543268466824,73.49,20.83,73.49,43.73,5.1548,40.70819247073464
B0005,107,1.4539012274845928,72.7,21.69,72.69,43.26,5.091,40.54781449399642
B0005,108,1.454146206723569,72.71,21.67,72.71,43.26,5.0936,40.56795872332495
B0005,109,1.455023751906683,72.75,21.62,72.75,43.28,5.0948,40.91212796995131
B0005,110,1.4490421637612358,72.45,21.95,72.45,43.12,5.0729,41.05450476478047
B0005,111,1.4386709371480566,71.93,22.51,71.93,42.8,5.0355,40.72038694409774
B0005,112,1.4334454321569792,71.67,22.79,71.67,42.64,5.0141,40.64572662339671
B0005,113,1.4333958900838095,71.67,22.79,71.67,42.64,5.0119,40.97215861651164
B0005,114,1.42806487344776,71.4,23.08,71.4,42.48,4.9957,41.13410609927847
B0005,115,1.4229203181741186,71.15,23.35,71.15,42.34,4.9752,41.03272022021008
B0005,116,1.417429032731308,70.87,23.65,70.87,42.18,4.9513,40.90528395430261
B0005,117,1.412409228794446,70.62,23.92,70.62,42.02,4.9299,40.80053581253233
B0005,118,1.4125787929401932,70.63,23.91,70.63,42.02,4.93,41.09540194136111
B0005,119,1.4075983731469897,70.38,24.18,70.38,41.87,4.9176,41.31240545555636
